Id,Weekly_Sales
1_1_2012-11-02,30071.951499999985
1_1_2012-11-09,36749.00500000003
1_1_2012-11-16,36406.966199999966
1_1_2012-11-23,35104.84050000002
1_1_2012-11-30,29680.175799999983
1_1_2012-12-07,36749.00500000003
1_1_2012-12-14,32855.094499999985
1_1_2012-12-21,32724.473299999987
1_1_2012-12-28,32676.475899999998
1_1_2013-01-04,32551.971099999995
1_1_2013-01-11,27398.029399999996
1_1_2013-01-18,27381.6249
1_1_2013-01-25,27104.5578
1_1_2013-02-01,27038.933499999992
1_1_2013-02-08,30285.03980000001
1_1_2013-02-15,27240.112999999994
1_1_2013-02-22,27218.66109999999
1_1_2013-03-01,28314.986099999995
1_1_2013-03-08,34339.874199999984
1_1_2013-03-15,27321.56049999999
1_1_2013-03-22,27336.412399999987
1_1_2013-03-29,30617.79979999999
1_1_2013-04-05,32412.263199999994
1_1_2013-04-12,26941.42339999999
1_1_2013-04-19,27407.06669999999
1_1_2013-04-26,27603.868299999987
1_1_2013-05-03,27273.79039999999
1_1_2013-05-10,29994.718699999998
1_1_2013-05-17,30927.9607
1_1_2013-05-24,31538.955299999998
1_1_2013-05-31,28882.5555
1_1_2013-06-07,34068.72949999999
1_1_2013-06-14,33110.05709999999
1_1_2013-06-21,33191.143099999994
1_1_2013-06-28,26711.43359999999
1_1_2013-07-05,31391.364399999995
1_1_2013-07-12,34697.511599999976
1_1_2013-07-19,34587.76939999998
1_1_2013-07-26,35009.158699999985
1_2_2012-11-02,42029.55819999999
1_2_2012-11-09,41625.9883
1_2_2012-11-16,41574.71609999997
1_2_2012-11-23,39653.11130000001
1_2_2012-11-30,41516.01669999998
1_2_2012-12-07,43111.094499999956
1_2_2012-12-14,41472.8911
1_2_2012-12-21,41220.76230000001
1_2_2012-12-28,35947.68700000004
1_2_2013-01-04,41024.69959999999
1_2_2013-01-11,38908.22819999994
1_2_2013-01-18,39412.84289999996
1_2_2013-01-25,39730.24229999997
1_2_2013-02-01,41835.890699999996
1_2_2013-02-08,40218.91610000001
1_2_2013-02-15,41276.52989999999
1_2_2013-02-22,41270.40519999999
1_2_2013-03-01,41835.890699999996
1_2_2013-03-08,41453.86609999996
1_2_2013-03-15,41521.89099999999
1_2_2013-03-22,41617.24599999999
1_2_2013-03-29,39270.91019999995
1_2_2013-04-05,41343.52509999998
1_2_2013-04-12,41707.93149999999
1_2_2013-04-19,41628.02859999999
1_2_2013-04-26,41523.090999999986
1_2_2013-05-03,41257.04429999998
1_2_2013-05-10,41443.875299999985
1_2_2013-05-17,41404.008999999984
1_2_2013-05-24,41375.06329999998
1_2_2013-05-31,41257.58189999999
1_2_2013-06-07,42038.82359999997
1_2_2013-06-14,41018.39589999998
1_2_2013-06-21,40999.34009999999
1_2_2013-06-28,39959.63869999996
1_2_2013-07-05,41763.81599999998
1_2_2013-07-12,41656.93989999998
1_2_2013-07-19,41656.93989999998
1_2_2013-07-26,41637.53799999998
1_3_2012-11-02,12351.449700000012
1_3_2012-11-09,12967.868400000014
1_3_2012-11-16,13316.64900000002
1_3_2012-11-23,12323.448000000006
1_3_2012-11-30,11906.277400000006
1_3_2012-12-07,12764.789900000018
1_3_2012-12-14,12648.79790000002
1_3_2012-12-21,12488.190800000015
1_3_2012-12-28,11576.542399999998
1_3_2013-01-04,13386.527100000014
1_3_2013-01-11,12499.514800000019
1_3_2013-01-18,12442.602500000019
1_3_2013-01-25,12454.321600000017
1_3_2013-02-01,11447.306500000008
1_3_2013-02-08,10744.047499999991
1_3_2013-02-15,12232.970400000018
1_3_2013-02-22,11940.092400000021
1_3_2013-03-01,11384.55900000001
1_3_2013-03-08,12774.981000000022
1_3_2013-03-15,12724.064600000018
1_3_2013-03-22,13540.79109999998
1_3_2013-03-29,12144.282800000012
1_3_2013-04-05,12307.395300000017
1_3_2013-04-12,11940.692600000004
1_3_2013-04-19,11403.800000000003
1_3_2013-04-26,11115.276600000007
1_3_2013-05-03,10524.037700000017
1_3_2013-05-10,11916.12560000001
1_3_2013-05-17,10446.560700000018
1_3_2013-05-24,10504.612900000016
1_3_2013-05-31,10959.01910000001
1_3_2013-06-07,12048.85600000001
1_3_2013-06-14,10673.751200000015
1_3_2013-06-21,10680.254600000017
1_3_2013-06-28,10706.648800000015
1_3_2013-07-05,11366.681300000007
1_3_2013-07-12,10430.680800000007
1_3_2013-07-19,10818.175100000008
1_3_2013-07-26,10940.988300000008
1_4_2012-11-02,37667.73279999994
1_4_2012-11-09,37138.39749999999
1_4_2012-11-16,37965.104399999946
1_4_2012-11-23,38723.32269999994
1_4_2012-11-30,37413.04389999996
1_4_2012-12-07,39093.795799999956
1_4_2012-12-14,39740.772699999936
1_4_2012-12-21,39353.841199999944
1_4_2012-12-28,39135.91869999995
1_4_2013-01-04,40141.62489999995
1_4_2013-01-11,38765.05069999996
1_4_2013-01-18,38613.56749999996
1_4_2013-01-25,38100.01269999995
1_4_2013-02-01,37679.43819999997
1_4_2013-02-08,37731.68609999998
1_4_2013-02-15,37588.25569999996
1_4_2013-02-22,37422.99579999995
1_4_2013-03-01,37119.00409999998
1_4_2013-03-08,38765.05069999996
1_4_2013-03-15,36661.62949999997
1_4_2013-03-22,36550.56459999996
1_4_2013-03-29,36522.678099999976
1_4_2013-04-05,38795.689599999976
1_4_2013-04-12,36729.20200000001
1_4_2013-04-19,37095.147600000004
1_4_2013-04-26,37028.07910000001
1_4_2013-05-03,37023.17049999999
1_4_2013-05-10,37005.76139999999
1_4_2013-05-17,36900.52950000002
1_4_2013-05-24,36575.84320000002
1_4_2013-05-31,36786.06890000001
1_4_2013-06-07,38881.29029999997
1_4_2013-06-14,36729.20200000001
1_4_2013-06-21,34970.25180000001
1_4_2013-06-28,36715.62110000001
1_4_2013-07-05,37950.69349999998
1_4_2013-07-12,36843.47580000001
1_4_2013-07-19,36840.442
1_4_2013-07-26,36699.813299999994
1_5_2012-11-02,25654.3372
1_5_2012-11-09,32779.48229999999
1_5_2012-11-16,35315.1137
1_5_2012-11-23,34944.119000000006
1_5_2012-11-30,25654.3372
1_5_2012-12-07,32779.48229999999
1_5_2012-12-14,33353.9092
1_5_2012-12-21,33638.585300000006
1_5_2012-12-28,34517.2274
1_5_2013-01-04,31963.79450000001
1_5_2013-01-11,34092.71559999997
1_5_2013-01-18,32590.149500000007
1_5_2013-01-25,32273.811100000003
1_5_2013-02-01,33241.4319
1_5_2013-02-08,35330.67620000001
1_5_2013-02-15,30879.841400000016
1_5_2013-02-22,30889.800000000017
1_5_2013-03-01,30354.443700000018
1_5_2013-03-08,30829.52440000001
1_5_2013-03-15,30253.503500000013
1_5_2013-03-22,30273.30630000001
1_5_2013-03-29,30393.86350000001
1_5_2013-04-05,31240.014600000017
1_5_2013-04-12,34229.52849999997
1_5_2013-04-19,31194.793500000007
1_5_2013-04-26,31742.475300000002
1_5_2013-05-03,28774.15439999998
1_5_2013-05-10,28679.466400000005
1_5_2013-05-17,25311.80390000002
1_5_2013-05-24,24872.52540000002
1_5_2013-05-31,26987.726299999995
1_5_2013-06-07,28679.466400000005
1_5_2013-06-14,27562.561200000015
1_5_2013-06-21,28908.355500000012
1_5_2013-06-28,25554.86580000001
1_5_2013-07-05,30223.7528
1_5_2013-07-12,28673.309699999998
1_5_2013-07-19,28775.694299999992
1_5_2013-07-26,28729.32469999998
1_6_2012-11-02,6335.382300000008
1_6_2012-11-09,6241.649700000009
1_6_2012-11-16,6245.44770000001
1_6_2012-11-23,7730.443500000005
1_6_2012-11-30,6383.874900000007
1_6_2012-12-07,6632.335300000006
1_6_2012-12-14,6328.258000000009
1_6_2012-12-21,6337.297200000008
1_6_2012-12-28,7783.376100000002
1_6_2013-01-04,6576.023200000008
1_6_2013-01-11,6395.016700000007
1_6_2013-01-18,6409.782400000008
